id,text,y
1053,呜呼 孰知赋敛之毒有甚是蛇者乎,1
1054,狼不敢上前 瞪眼朝着屠户,0
1055,易经 是用来说明变化的,0
1056,梁朝皇孙以下 总之年 必先入学,1
1057,好的差的各自找到他们的位置,0
1058,因袭父亲另外的爵号 为吉阳县五等侯,0
1059,他崇尚道德而又善诗文 以此继承了他的家风,0
1060,悲泗淋漓 诚怛人心,1
1061,急湍甚箭 猛浪若奔,1
1062,吾力能改葬 终葬汝于先人之兆 然后惟其所愿,1
1063,台隍枕夷夏之交 宾主尽东南之美,1
1064,雄州雾列 俊采星驰,1
1065,亲表聚集 致宴享焉,1
1066,周有天下 裂土田而瓜分之 设五等 邦群后,1
1067,溯寻其来 国风 雅 颂开其端,1
1068,如果人们所喜爱的东西没有超过生命的,0
1069,人类一定要借用外物作为自己求生的工具,0
1070,这样我胡乱拿取百姓的东西就变得没完没了了,0
1071,视之为垂训子孙以及家庭教育的典范,0
1072,又有一个大儿子醒了 絮絮叨叨地说个不停,0
1073,他乡异县 微借风声 延颈企踵 甚於饥渴,1
1074,因而湖开始恢复原貌,0
1075,备得太尉遗事 覆校无疑,1
1076,最终成为品德败坏的人,0
1077,存亡国 继绝世 补弊起废 王道之大者也,1
1078,下令而削之 缔交合从之谋周于同列,1
1079,愧惕惭惧 不知所失,1
1080,这是您为我们蓄养的牲口啊,0
1081,人影散乱 宾客们跟随太守回去了,0
1082,使子弟慕而学之 不知使学古人,1
1083,今不忍人无寇暴死 以乱天子边事,1
1084,毅曰 此何所也 夫曰 此灵虚殿也,1
1085,青林翠竹 四时俱备,1
1086,吾与汝俱少年 以为虽暂相别 终当久相与处,1
1087,望洞顶石崖双劈 如门对峙 洞正透其下,1
1088,尽管孔子这样的圣师 和弟子谈话都自己称名,0
1089,惟其欲自固其身 而天子不悦,1
1090,郁郁三槐 惟德之符,1
1091,秦朝用废除分封诸侯的办法来作为制度 是最大的公,0
1092,遭牛羊践踏 但最终还是四季长青,0
1093,沿着山路走六七里 渐渐听到潺潺的水声,0
1094,比量逆顺 鉴达兴亡之妙也,1
1095,南取百越之地 以为桂林 象郡,1
1096,洎酒阑欢极 毅辞起 复宿于凝光殿,1
1097,子婴孤立无亲 自处危境 却又年幼而没有辅佐,0
1098,许多诸侯又去听从他的命令,0
1099,太宗征伐并州 汾州 任命他为大内副部署,0
1100,乃为自全之计 欲使天子自将而己居守,1
1101,公孙庆曰 齐不请楚而立王 楚何故请齐而立王,1
1102,数年之后 富民安邦 盖商於子之功也,1
1103,此四君者 皆明智而忠信,1
1104,将要生育 就派童仆守候着,0
1105,自后汉时流入中国 上古未尝有也,1
1106,我日夜盼望将军到来 怎么敢反叛呢,0
1107,手不停披于百家之编,1
1108,夏天时到水中洗手洗脚 步行在园圃中,0
1109,没有发生祸乱 还是很容易控制的,0
1110,荆轲顾笑武阳 前为谢曰,1
1111,才能不及中人 非有仲尼 墨翟之贤 陶朱 猗顿之富,1
1112,显示出南征北伐的威风,0
1113,我只是让你粗略地阅读 了解历史罢了,0
1114,天下大乱 闻公孙度令行于海外,1
1115,才去问使者 使者胡乱说个日期应付呢,0
1116,志在流水 钟子期曰 善哉 洋洋兮若江河,1
1117,卒相与欢 为刎颈之交,1
1118,当道执政掌权 不再见当年的私党,0
1119,就为科治 此亦士大夫百行之一也,1
1120,臣与将军戮力而攻秦 将军战河北 臣战河南,1
1121,以致天下之士 合从缔交 相与为一,1
1122,臣等忝备谏官 不胜忧惕 伏愿稍减游纵 留心政道,1
1123,英俊的人才 像繁星一样地活跃,0
1124,张良入谢 曰 沛公不胜桮杓 不能辞,1
1125,迁移流亡 见闻已多,0
1126,颜氏家训 是我国南北朝时北齐文学家颜之推的的传世代表作,0
1127,昔尧遭洪水九年者 乃此子一怒也,1
1128,群从疏薄 则僮仆为仇敌矣,1
1129,今乃言者 知君有感余之意,1
1130,吾视其辙乱 望其旗靡 故逐之,1
1131,就责罚郭攸之 费祎 董允等人的怠慢 来揭示他们的过失,0
1132,兼通文史 不徒讲说也,1
1133,陈王出 遮道而呼涉,1
1134,有客难主人曰 吾见强弩长戟 诛罪安民,1
1135,周市卒为相,1
1136,而你却一定要得到租谷 又用大杖打无罪的人,0
1137,微闻有鼠作作索索 盆器倾侧 妇梦中咳嗽,1
1138,逮奉圣朝 沐浴清化,1
1139,然陈涉瓮牖绳枢之子 氓隶之人 而迁徙之徒也,1
1140,龙以水为神 举一滴可包陵谷,1
1141,鲁庄公又要下令驾车马追逐齐军,0
1142,吴二十一武陵来 言足下为 醉赋 及 对问 大善 可寄一本,1
1143,夫金缯所出 固民膏血 可使倡优无功滥被赐与,1
1144,国之存亡 系其生死,1
1145,霍丘知县阳湖左君 治霍丘既一载 其冬有年,1
1146,打击无罪者之辈 还取仁义之人的谷子,0
1147,泾川之冤 君使得白,1
1148,过了一会儿孩子醒了 大声哭着,0
1149,乾隆戊子年中秋节 苏州唐眉岑带着他的儿子住在随园,0
1150,孔子知道他的建议不会被接受了,0
1151,丧出之日 门前然火,1
1152,你现在当权管事 不可以不学习,0
1153,夫有人民而后有夫妇 有夫妇而后有父子,1
1154,君乃辞归宫中,1
1155,秦之所以革之者 其为制 公之大者也 其情 私也,1
1156,道之所存 师之所存也,1
1157,赵王遂行 相如从,1
1158,论曰 唐兴迨季叶,1
1159,明天早晨不能不早些亲自来向项王道歉,0
1160,男女效绩 愆则有辟,1
1161,是非木杮 岂能为暴涨携之去,1
1162,清晨前往 黄昏归来 四季的风光不同,0
1163,毫无保留地进献忠诚的建议,0
1164,校勘订正六经典籍 依照后汉的做法 在太学立石镌刻经文,0
1165,哙曰 此迫矣 臣请入 与之同命,1
1166,深入到人烟稀少的地方,0
1167,唉 我自幼丧父 等到大了,0
1168,然则诸侯之地有限 暴秦之欲无厌,1
1169,多得可以用亿万来计算,0
1170,否则 你们都将被他俘虏,0
1171,余欲更至洞门 晚色已合 去宿馆尚十里,1
1172,子当以养为心 父当以学为教,1
1173,子孙视之不甚惜 举以予人 如弃草芥,1
1174,有树杆粗到两人合抱的,0
1175,不断地任命郡县长官,0
1176,便将原来的牡丹移回原处 没过几天 也枯死了,0
1177,现在您放纵士兵干凶暴不法之事 凶暴将导致变乱,0
1178,烟消波静 则一舸无迹 仅有 敌船,1
1179,这时太阳还没有落下,0
1180,仍然往西从原路出来 往北上山,0
1181,是岁十月之望 步自雪堂 将归于临皋,1
1182,饮食百物皆倍穹常时 而僦赁看幕 虽席地不容间也,1
1183,然后其子孙能与守文太平之主 共天下之福,1
1184,余闻董生曰  周道衰废,1
1185,流贼派骑兵呼叫劝降 罗俊回头对部下说,0
1186,在这时候 妇女用手拍孩子的声音,0
1187,又有大者 众群之长又就而听命焉 以安其属,1
1188,枝条繁茂 花苞蔟簇数以百计,0
1189,伛偻提携 往来而不绝者 滁人游也,1
1190,夫 春秋 上明三王之道 下辨人事之纪,1
1191,不久 泾县翟云九进士来了,0
1192,惟以信命赠遗 致殷勤焉,1
1193,邻之厚 君之薄也,1
1194,于是余有叹焉,1
1195,少始知学 勇于敢为 长通于方 左右具宜,1
1196,陈蕃曰 盗不过五女之门,1
1197,或本同末异 或两文皆欠,1
1198,公来自东 旗纛舒舒,1
1199,现在有人为了认识的穷人感激自己却接受了它,0
1200,特别是沈佺期 宋之问等人,0
1201,等到进入壮年时期 各有各的妻 各有各的子,0
1202,魏晋已来 所著诸子 理重事复,1
1203,盖将吊而更以贺也,1
1204,早晨虽然已经过去,0
1205,而不及今图之 欲以一州之地 与贼持久 此臣之未解六也,1
1206,德又大者 方伯 连帅之类又就而听命焉,1
1207,时间一久自然就腥臭,0
1208,不久免去别的官职任尚书左仆射,0
1209,那么我哥哥有那么美好的品德反而早早地绝后了呢,0
1210,愚义之 为斯文,1
1211,至於士庶贵贱之隔 俗以为常,1
1212,太子闻之 驰往 伏尸而哭 极哀,1
1213,私其力于己也 私其卫于子孙也,1
1214,从前晁错殚精竭虑效忠汉室,0
1215,甑 或木或瓦 匪腰而泥 篮以箪之 篾以系之,1
1216,因此先帝把他们选拔出来辅佐陛下,0
1217,徐文远 洛州偃师人,1
1218,金城千里 子孙帝王万世之业也,1
1219,径诣别室 且浴且思 意不能无动,1
1220,过不了多久就要随你死去了,0
1221,今世相承 趋末弃本 率多浮艳,1
1222,嗟夫 世之君子 欲求非常之功 则无务为自全之计,1
1223,毅而设拜 君亦拜 命坐于灵虚之下,1
1224,杀害人 如是不止,1
1225,鹿独戎马之间 转死沟壑之际,1
1226,诞育将及 便遣阍竖守之,1
1227,人非生而知之者 孰能无惑,1
1228,辞别六国的宫楼 走下六国的宫殿 坐着辇车来到秦国,0
1229,上大夫壶遂说,0
1230,及繁霜夜零 旦起而视之 如战败之军,1
1231,值君子累娶 当娶于张 已而又娶于韩,1
1232,开宝三年秋 三司报告皇帝,0
1233,主上明圣而德不布闻 有司之过也,1
1234,余立侍左右 援疑质理 俯身倾耳以请,1
1235,春秋 中 臣杀君的有三十六起 亡国的有五十二个,0
1236,使淫乐于诸夏之国 以自伤也,1
1237,岂当论经书事乎 且先儒之中 未闻有王粲也,1
1238,潦水尽而寒潭清 烟光凝而暮山紫,1
1239,敢倡斯盟 尚赖同志相与广焉,1
1240,更何况是大国之间呢,0
1241,冬季祭祀时献上谷物和牲畜,0
1242,劳苦变动 而后能光明 古之人皆然,1
1243,要出席朝廷显贵的宴会 就请人帮助作文赋诗,0
1244,春秋 歌颂善人 贬斥恶人,0
1245,年成丰收而您的夫人却仍为食粮不足而啼说饥饿,0
1246,再三举起他佩戴的玉玦暗示项王,0
1247,上章以求断绝死者所患疾病之传染连续,0
1248,生子咳提 师保固明孝仁礼义 导习之矣,1
1249,现在的一般人,0
1250,事不可息 则住与行劳费正等,1
1251,也就是所谓天理不可推求,0
1252,况修短随化 终期于尽,1
1253,无论事情大小,0
1254,君曰 必不如此,1
1255,这就是我用来报答先帝 并且尽忠陛下的职责本分,0
1256,六国的君主灭亡了 全国为秦所统一,0
1257,由此观之 王氏之福盖未艾也,1
1258,就选择老师来教他 但是对于他自己呢,0
1259,洛阳亦闻崔浩 张伟 刘芳 邺下又见邢子才,1
1260,用箭射伤天子肩膀的事情出现了,0
1261,今夫平居闻一善,1
1262,年十六丧父 中表愍其孤贫 咸共赠赗,1
1263,撤去屏风一看里面,0
1264,生 亦我所欲也 义 亦我所欲也,1
1265,归周者八百焉 资以胜殷 武王不得而易,1
1266,赐之车马而辞者 不畏步者也,1
1267,语未毕 而大声忽发 天拆地裂,1
1268,高官厚禄却不辨是否合乎礼义就接受了它,0
1269,故陨霜不杀者 物之灾也,1
1270,沿用它来求得安定 因袭它来作为习俗,0
1271,公 乃陌上人也 而能急之,1
1272,江流有声 断岸千尺 山高月小 水落石出,1
1273,葛婴东下 周文西拒,1
1274,使您沉浸在征服中原各国的快乐中 来让你自己伤害自己,0
1275,座客视之 毛发皆竖,1
1276,无一不胜其任者 此之谓损之而益,1
1277,我辈小人 一天从早到晚 只知窥察时机求取名利,0
1278,卒皆夜惊恐,1
1279,如磨 扇 弹 钻 缝五字 文以平声书之,1
1280,今使疏薄之人 而节量亲厚之恩,1
1281,悉以咨之 必能使行阵和睦 优劣得所,1
1282,方欲行 转视积薪后 一狼洞其中 意将隧入以攻其后也,1
1283,或者曰 封建者 必私其土 子其人,1
1284,何以言之 且汉知孟舒于田叔 得魏尚于冯唐,1
1285,必蒙首恶之名,1
1286,凡曝沙之鸟 呷浪之鳞,1
1287,阴益其所短而进其所不能者,1
1288,项王说 好,0
1289,因命酌互举 以款人事,1
1290,在结成婚姻的辛家中 有十几年还不相识的,0
1291,忧惧悲伤 伤心流泪而且不能自制了,0
1292,有的甚至高达几十尺,0
1293,但重於呵怒伤其颜色 不忍楚挞惨其肌肤耳,1
1294,周朝的情况 毫无疑问地可以看清楚了,0
1295,微爱属文 颇为凡人之所陶染,1
1296,参差交错互相遮掩衬托 又像用镜子看自己的影子,0
1297,第二天早上就可以罢免他,0
1298,表示愿意用十五座城池交换和氏璧,0
1299,客鸡义勇超于群 群皆妒焉 尚不与俦焉 况在人乎哉,1
1300,宫殿摆簸 云烟沸涌,1
1301,这种做法不是可以让它停止了吗,0
1302,他的妻子提出疑问说,0
1303,这太危急了 请让我进去 跟他同生死,0
1304,夫秦王有虎狼之心 杀人如不能举,1
1305,皆事外饰 车乘衣服,1
1306,打开雕花精美的阁门 俯视彩饰的屋脊,0
1307,兄弟之子已孤 与他人言 对孤者前呼为兄子,1
1308,屠惧 投以骨,1
1309,游颜洞以云津为奇 从前门架桥入 约四五里,1
1310,有的人把书籍在桌案上乱丢,0
1311,于是那些扛着锄木棍被责罚防守边境的人们,0
1312,左君微笑着而接受了这些东西,0
1313,禽兽的欺骗手段能有多少啊,0
1314,今或闻无罪 二世杀之,1
1315,故淮右富族 咸以为莫如,1
1316,从下而言 辨明了为人处事的纲纪 分清了疑惑难明的事物,0
1317,我常在土墙高低不平的地方,0
1318,没过多久 蔺相如外出 远远看到廉颇,0
1319,前辈道德和声望高 门人弟子挤满了他的屋子,0
1320,这三人很高兴 穿上鞋站起来 快速向外走,0
1321,亲戚朋友知道他这种境况 有时摆了酒席叫他去喝,0
1322,高山凭依着高峻的山势 争着向上,0
1323,自黄初至于青龙 征命相仍 常以八月赐牛酒,1
1324,是祝融 回禄之相吾子也,1
1325,效法齐 梁诗歌的形式,0
1326,国家将要兴盛时 必定有世代积德的大臣,0
1327,有志与力 而又不随以怠,1
1328,位卑则足羞 官盛则近谀,1
1329,太尉曰 某为泾州 甚适 少事,1
1330,在乱世中苟且保全性命 不奢求在诸侯之中出名,0
1331,鄞县选取湖的西面山脚下的百顷之地作为职田,0
1332,取酒共酌 意致闲淡 亭午风渐劲 湖水汩汩有声,1
1333,秦国贪得无厌 倚仗它的强大,0
1334,公见人被暴害 因恬然,1
1335,燕故贵人豪杰谓韩广曰 楚已立王 赵又已立王,1
1336,补授弘文校书郎 多次升迁任谏议大夫,0
1337,刘邦对张良说 从这条路到我们军营 不过二十里罢了,0
1338,以发和 书 以道事 诗 以达意,1
1339,班固书集亦云家孙 今并不行也,1
1340,故 春秋 者 礼义之大宗也,1
1341,凡艺而不实 植而罕茂 法如种瓜 三岁可采,1
1342,毅不得安 遂相与归洞庭,1
1343,驾长檐车 跟高齿履 坐棋子方褥,1
1344,秦无亡矢遗镞之费 而天下诸侯已困矣,1
1345,且士贤能而不用 有国者之耻,1
1346,洞门上写着,0
1347,沛公大惊 曰 为之奈何 张良曰,1
1348,人们都前来慰问他,0
1349,阮籍因无礼败坏风俗,0
1350,从冯唐那里了解到魏尚,0
1351,必贵整齐 家人妻子 不免饥寒,1
1352,陈王初立时 陵人秦嘉 铚人董譄 符离人朱鸡石,1
1353,诗经 和 尚书 辞意隐约 这是作者要表达他们内心的思想,0
1354,虽我之死 有子存焉,1
1355,文章内容切实 语言流畅,0
1356,呜呼 汝病吾不知时 汝殁吾不知日,1
1357,求土人导入 皆曰,1
1358,尤其令以后明清两代的人钦羡不已,0
1359,没有什么罪过比这更大了,0
1360,鲁谩曰 若问云何,1
1361,寓逆旅 主人日再食 无鲜肥滋味之享,1
1362,这都是把避讳事情做过头了,0
1363,贱妾不幸 今日见辱问于长者,1
1364,诸郎中执兵 皆陈殿下 非有诏不得上,1
1365,还有个臧逢世 是臧严的儿子,0
1366,一夕 自恨死,1
1367,罗彦见贼入 急还家 大书官阶 姓名于壁 投缳死,1
1368,主人不能答 请具砚削牍 记之以自警焉,1
1369,比见北人甚轻此节 行路相逢 便定昆季,1
1370,这种说法大大的不对,0
1371,阮籍无礼败俗 稽康凌物凶终,1
1372,为什么要这样呢 是尊重大国的威望以表示敬意呀,0
1373,且夫发七国之难者 谁乎 己欲求其名 安所逃其患,1
1374,楼五架 窗扉皆洞开,1
1375,及至冠婚 体性梢定 因此天机 倍须训诱,1
1376,因此 三位君主迷失了路途,0
1377,当我外出求师的时候 背着书箱 拖着鞋子行走在深山峡谷之中,0
1378,唉 你患病我不知道时间 你去世我不知道日子,0
1379,舟之通越者皆由此湖 而湖之产,1
1380,刘繇 王朗各据州郡 论安言计,1
1381,自臣到汉中 中间期年耳,1
1382,听不进他的劝谏,0
1383,居右者椎髻仰面 左手倚一衡木 右手攀右趾 若啸呼状,1
1384,蝉则千转不穷 猿则百叫无绝,1
1385,躬自同之 常无厌色,1
1386,秦左右校复攻陈 下之,1
1387,今岁不战 明年不征 使孙策坐大,1
1388,太尉曰 然终不以在吾第,1
1389,愿诸君勿复言,1
1390,就是因为有我们两人在呀,0
1391,它的茎中间贯通外形挺直 不牵牵连连也不枝枝节节,0
1392,望若神仙 明经求第,1
1393,回到随园时 月亮十分明亮,0
1394,王许之 遂与秦王会渑池,1
1395,公侯的夫人还要编织系于颌下的帽带以及覆盖帽子的装饰品,0
1396,全县的绅士 百姓都烧起香来送他,0
1397,济阳人江禄 每当读书未读完时,0
1398,秦王把璧交给他 相如于是手持璧玉退后几步靠在柱子上,0
1399,它很勇猛而且很会打架,0
1400,夜缒而出 见秦伯 曰,1
1401,他生性喜爱喝酒 家里穷经常没有酒喝,0
1402,芘莉 又叫籯子或篣筤,0
1403,不肯改悔的 必然要惩罚他,0
1404,于是 终于记述了唐尧以来的历史,0
1405,蜩与学鸠笑之曰,1
1406,覆压三百余里 隔离天日,1
1407,臣听从了他的意见 大王也开恩赦免了为臣,0
1408,使不至於累其君 则天子将恃之以为无恐,1
1409,使骄且吝 其余不足观也已,1
1410,荀卿守正 大论是弘,1
1411,叩石垦壤 箕畚运于渤海之尾,1
1412,田儋诛杀公孙庆,1
1413,赵王私下里听说秦王擅长秦地土乐,0
1414,责其指归 或无要会,1
1415,它高一尺 二尺,0
1416,因屏人曰 汉室倾颓 奸臣窃命 主上蒙尘,1
1417,于是筑环湖之堤 广倍于旧 而高倍于旧三之二,1
1418,无云人言 言已世父 以次第称之,1
1419,世上有的人把晋国公王佑与李栖筠唐代贤相相比,0
1420,他就杀牛斟酒 请人家帮他扩大声誉,0
1421,主人对曰 夫命之穷达,1
1422,教养我的儿子和你的儿子 希望他们成才,0
1423,藜羹不糁 甘于五鼎之味,1
1424,即使商栈储存多也藏起来不卖 因此米价更贵 百姓将要饿死,0
1425,吴义兴及吴郡之钱唐 升米三百,1
1426,宜侧身勤政 而内耽宴嬉 外盘游畋,1
1427,七国那样强大 却突然想削弱它,0
1428,子女自然敬畏谨慎而有孝行了,0
1429,秦本末并失 故不能长,1
1430,故夫知效一官 行比一乡,1
1431,遂娶于张氏 亡,1
1432,冬天 山中有位老翁挑了一株牡丹 牡丹有一人多高,0
1433,饭菜已经完备 美酒已经斟好,0
1434,不要和刘邦他们一起死了,0
1435,故礼恭 而后可与言道之方 辞顺,1
1436,人不能像禽兽那样抓扑啃咬,0
1437,享其福禄荣名者十有八年,1
1438,还有几块獐子肉 女婿嫌太简单,0
1439,于是天地闭塞而成冬,1
1440,性嗜酒 家贫不能常得,1
1441,有谁能继承圣明时代的事业 修正 易传,0
1442,唉 古代那种跟从老师学习的风尚不能恢复,0
1443,少时自由自在 真后悔中举后祸难跟着到来,0
1444,自既望以至十八日为盛,1
1445,是余之罪也夫 身毁不用矣,1
1446,我地位卑微 只是一个书生,0
1447,一个家庭里的亲人 就有这三种关系,0
1448,而与沉氏交给周厚,1
1449,在我还小的时候 就受到诱导教诲,0
1450,所以我又取回宝璧,0
1451,家之常弊 可不诫哉,1
1452,邠州由是无祸,1
1453,而此地适与余近 余之游将自此始,1
1454,而延颈喔咿 其声甚悲焉 而遂去焉,1
1455,具备一点优点的人全部被录取,0
1456,用来提醒我自己 也可以作为世人的借鉴,0
1457,这都是你们所见到的 切莫把钱花费在这些巫妖虚妄的事情上,0
1458,苍天高远 大地寥廓 令人感到宇宙的无穷无尽,0
1459,乃丹书帛曰 陈胜王 置人所罾鱼腹中,1
1460,第二年 秦国再次攻打赵国 杀死两万人,0
1461,不受时俗的拘束 向我学习,0
1462,二世承袭父过 因循不改 残暴苛虐以致加重了祸患,0
1463,汤武之隆 诗人歌之,1
1464,那时有反叛的藩镇将领而没有反叛的州县长官,0
1465,诗 文而音者也,1
1466,迁领国子祭酒 本州大中正 转吏部尚书 领太子右卫率,1
1467,乐过而虑其忘 则必假文字以存之,1
1468,取湖之西山足之地百顷为之 既而务益取湖以自广,1
1469,妇女的习性 大多宠爱女婿而虐待儿媳妇,0
1470,所有这些也都已讲得很全面详细了,0
1471,故楼之观 得水而壮 得山而妍也,1
1472,天将复兴王氏也欤 何其子孙之多贤也,1
1473,只派人传达音信或送礼品 来表示殷勤,0
1474,裴子野有远亲故旧饥寒不能自救的 都收养下来,0
1475,古时候 名用来表明本身 字用来表示德行,0
1476,那么蜀人也会认为自己是齐鲁有教化的人了,0
1477,无如之何 及夫郡邑 可谓理且安矣,1
1478,吾其还也,1
1479,少昊在位八十年 年百岁,1
1480,哥哥正当中年时,0
1481,详备地获得了太尉的遗事 再次核对没有什么疑问,0
1482,慈兄鞠养 苦辛备至 有仁无威 导示不切,1
1483,贪荣求利 反招羞耻 可不慎欤,1
1484,我读诗读到杜甫,0
1485,沿着山路拐弯,0
1486,甚至可以让汲黯躺着任职 委任他只凭威望去安抚一个地区,0
1487,水涨流急此非游时若两月前水涸可不桥而入,1
1488,山东虽乱 三秦之地可全而有 宗庙之祀宜未绝也,1
1489,既而将诉于舅姑 舅姑爱其子 不能御,1
1490,虽欲如向之蓄缩受侮 其可得乎,1
1491,礼记,0
1492,妇人抚慰孩子喂奶 孩子含着乳头哭 妇女又轻声哼唱着哄他入睡,0
1493,楚 泗至京千里 旧八十日一运 一岁三运,1
1494,其后四年 而归视汝,1
1495,使天下之人 不敢言而敢怒,1
1496,天不可必乎 仁者必有后,1
1497,他的意图常在沛公身上啊 樊哙说,0
1498,锵锵翼翼 若朝严君焉,1
1499,罗彦曰 诺,1
1500,没有说 家 的 农村里卑贱的人 才有这种叫法,0
1501,早上任命的官吏 如果发现他不行正道 晚上就可以撤了他,0
1502,又取仁者谷 使主人出无马 汝将何以视天地,1
1503,它的声音听起来非常悲哀 然后就离开了,0
1504,私其一己之威也 私其尽臣畜于我也,1
1505,给事中时敏因公途经这里 半夜时想要进城 罗彦不许,0
1506,从前王侯自己称自己孤 寡 不谷 从此以后,0
1507,闻道有先后 术业有专攻 如是而已,1
1508,鲁心敬之而无言,1
1509,您还不了解我鲁亮侪的为人,0
1510,尔今曰  胡不自安,1
1511,这九条河流只得像人屏住呼吸裹紧衣服一样,0
1512,那么恐怕祸乱就会发展到无可挽回的地步,0
1513,因为家里贫穷 所以没有办法买书来阅读,0
1514,天下相合 杀守劫令而并起,1
1515,徒以吾两人在也,1
1516,稀疏的枝条交相掩映 有时也可以见到阳光,0
1517,右边挂着香囊 光鲜亮丽好像神仙一样,0
1518,我站着侍候在他左右 提出疑难,0
1519,秦王坐在章台上接见蔺相如 相如捧璧呈献给秦王,0
1520,七年 坐秦王廷美事 以本官罢,1
1521,余则缊袍敝衣处其间 略无慕艳意,1
1522,而蜀人亦自以齐 鲁之人待其身,1
1523,衔觞赋诗 以乐其志 无怀氏之民欤 葛天氏之民欤,1
1524,王子晞为尚书 领行营节度使,1
1525,岂不为君子始终之道者 毅肃然而作,1
1526,覆杯水于坳堂之上 则芥为之舟,1
1527,徒见欺 欲勿予 即患秦兵之来,1
1528,俟其欣悦 则又请焉,1
1529,把刘邦的话报告了项羽 趁机说,0
1530,况且 贤士不被任用 这是国君的耻辱,0
1531,心和眼既然不专心致志,0
1532,执掌选拔人才的职位 不再是从前的亲属,0
1533,臣杀君 子杀父 不是一朝一夕才这样的 而是长时期逐渐形成的,0
1534,闲静少言 不慕荣利,1
1535,覃之侍讲 每以厚风俗 黜朋比再三为天子言 故终为相,1
1536,乡为身死而不受 今为宫室之美为之,1
1537,吟啸谈谑 讽咏辞赋 事既优闲,1
1538,群臣惊愕 卒起不意 尽失其度,1
1539,举子中举后该有些快乐了,0
1540,今君乃亡赵走燕 燕畏赵,1
1541,先生少年时代就开始懂得学习,0
1542,以君为长者 故不错意也,1
1543,演之可中领军 哗可太子詹事,1
1544,而位于东西之间正当门的透明处,0
1545,求之下流 固颠 求之地中 不更颠乎 如其言 果得于数里外,1
1546,弟子 颇为不忍 北土人多呼为佳,1
1547,我的妾赞美我美 是害怕我,0
1548,终以人事扼束 无由报谢,1
1549,势之来 其生人之初乎 不初 无以有封建,1
1550,这样日渐衰败下去 直到周幽王 周厉王,0
1551,端足以仰绪先尘 俯谢来世,1
1552,而神意实在难以知道了,0
1553,呜呼 孰谓汝遽去吾而殁乎,1
1554,今以一彘首故 得与群贤披烟云 辨古迹,1
1555,各抱地势 钩心斗角,1
1556,徐以杓酌油沥之 自钱孔入 而钱不湿,1
1557,十六岁时父亲去世 表兄弟们怜悯他孤独贫困,0
1558,赵惠文王十六年 廉颇为赵将 伐齐 大破之,1
1559,本在冀州之南 河阳之北,1
1560,而胡重于鬼神而自轻也,1
1561,不要担心主管部门官吏不够英明,0
1562,中有隔 上有覆 下有床,1
1563,张良说 秦朝时 他和我交往 项伯杀了人,0
1564,也是不应该的,0
1565,夫圣贤之书 教人诚孝,1
1566,渔人把自己知道的事都详细的一一作了回答,0
1567,不见昔时之党 求诸身而无所得,1
1568,每常心共口敌 性与情竞,1
1569,今君与廉颇同列 廉君宣恶言而君畏匿之,1
1570,我就被免职 你又没来成,0
1571,逾时 楼渐低 可见其顶 又渐如常楼,1
1572,彼此递个眼色就联合起来,0
1573,于是天龙闻而下之 窥头于牖 施尾于堂,1
1574,太尉说,0
1575,春秋 之中 弑君三十六 亡国五十二,1
1576,吕蒙于是开始学习,0
1577,不如少遗兵 足以守荥阳 悉精兵迎秦军,1
1578,从前滕子京因在庆州统领军队抗敌的事情被贬官到这里,0
1579,张良说 是谁给大王出这条计策的,0
1580,于是从散约败 争割地而赂秦,1
1581,以及 兼论字画音训 并考正典故 品第文艺 的内容方面,0
1582,必乏天才 勿强操笔,1
1583,其实只要有了学问 就是以自立做人,0
1584,然而封建之始 郡国居半,1
1585,这种情况长久不能纠正,0
1586,退自循顾 戾不容责,1
1587,沛公北向坐 张良西向侍,1
1588,无丝竹之乱耳 无案牍之劳形,1
1589,水位涨 水流急 现在不是游洞的季节,0
1590,到任后向官库预支了官俸去接母亲,0
1591,尝射于家圃 有卖油翁释担而立 睨之 久而不去,1
1592,仰首细审 见狼口中含肉 钩刺狼腭 如鱼吞饵,1
1593,冬天非常寒冷 砚台里的墨汁像冰一样坚硬,0
1594,又是沉默低头 只会打呵欠神懒腰,0
1595,不是原始阶段的那种形势 就没有可能产生封建制,0
1596,不能同意求和啊,0
1597,王后亲子编织冠冕上用来系瑱的黑色丝带,0
1598,又固其余材为二亭于堤上以休 而与望春,1
1599,游之日 风日清和 湖平于熨 时有小舫往来,1
1600,且公尝为我言 民无常性 惟上所待,1
1601,魏继承汉朝 分封贵族的爵位仍然实行封建制,0
1602,这是讲圣人贤人是如此稀少难得,0
1603,西望长安 东指吴会 南方的陆地已到尽头 大海深不可测,0
1604,吾时虽能记忆 亦未知其言之悲也,1
1605,山峦为晴雪所洗 娟然如拭 鲜妍明媚,1
1606,杵臼 一曰碓 惟恒用者佳,1
1607,伤稼乎 曰 八百里,1
1608,而足下之才能 乃可以显白而不污 其实出矣,1
1609,将军岂有意乎,1
1610,及至始皇 奋六世之余烈 振长策而御宇内,1
1611,唯独这个人因为腿瘸的缘故免于征战 父子得以保全生命,0
1612,而不革其制 固不当复议也,1
1613,然秦以区区之地 致万乘之势,1
1614,微夫人之力不及此,1
1615,不者 若属皆且为所虏,1
1616,让她们清洁并准备好禘祭,0
1617,不能在诸侯国推行,0
1618,可是这些诗创作的时间距离诗经的时代接近,0
1619,所以历时长久 国家安定,0
